z	tke_res	tke_sbg	wt_res	wt_sbg	wtke_res	wtke_sbg	temp
-3.450000000000e+02	6.797362584621e-05	6.621728971368e-06	-6.481270247605e-06	0.000000000000e+00	-1.353523781944e-08	-1.630749579817e-08	1.664311647415e+00
-3.350000000000e+02	8.872061152942e-05	1.325007633568e-05	-9.048388164956e-06	0.000000000000e+00	-2.448475733274e-08	-2.696086731646e-08	1.681023597717e+00
-3.250000000000e+02	1.232194481418e-04	2.289717485837e-05	-1.370761856379e-05	0.000000000000e+00	-1.206195179293e-07	-3.263924241992e-08	1.697803139687e+00
-3.150000000000e+02	1.723294117255e-04	3.319092138554e-05	-1.744122891978e-05	0.000000000000e+00	-4.055123667968e-07	-2.907626317494e-08	1.711271524429e+00
-3.050000000000e+02	2.282923524035e-04	4.133821130381e-05	-1.863083707576e-05	0.000000000000e+00	-9.681041319709e-07	-1.995350373818e-08	1.720624804497e+00
-2.950000000000e+02	2.779429196380e-04	4.673358125729e-05	-1.770844392013e-05	0.000000000000e+00	-1.790252895262e-06	-1.208963240629e-08	1.726626038551e+00
-2.850000000000e+02	3.142386558466e-04	5.021038668929e-05	-1.512620474386e-05	0.000000000000e+00	-2.737449676715e-06	-7.809004110015e-09	1.730399966240e+00
-2.750000000000e+02	3.412093501538e-04	5.262656850391e-05	-1.151934066002e-05	0.000000000000e+00	-3.740320835277e-06	-6.047293776845e-09	1.732829689980e+00
-2.650000000000e+02	3.636421461124e-04	5.448120646179e-05	-7.436031410180e-06	0.000000000000e+00	-4.738215466205e-06	-5.063534036509e-09	1.734451889992e+00
-2.550000000000e+02	3.834544331767e-04	5.591539229499e-05	-3.052820375160e-06	0.000000000000e+00	-5.656518624164e-06	-4.120517260731e-09	1.735577702522e+00
-2.450000000000e+02	4.019775951747e-04	5.702308044420e-05	1.558897338327e-06	0.000000000000e+00	-6.478878276539e-06	-3.533288328583e-09	1.736402869225e+00
-2.350000000000e+02	4.190468462184e-04	5.795162360300e-05	6.442785434047e-06	0.000000000000e+00	-7.209929208329e-06	-3.208943333277e-09	1.737036228180e+00
-2.250000000000e+02	4.355010751169e-04	5.876670911675e-05	1.150879506895e-05	0.000000000000e+00	-7.858179742470e-06	-3.027115225152e-09	1.737525224686e+00
-2.150000000000e+02	4.513365274761e-04	5.957198300166e-05	1.649558726058e-05	0.000000000000e+00	-8.419605364907e-06	-3.563993100641e-09	1.737906813622e+00
-2.050000000000e+02	4.658555262722e-04	6.055342237232e-05	2.149983447453e-05	0.000000000000e+00	-8.888802767615e-06	-4.518043272839e-09	1.738210797310e+00
-1.950000000000e+02	4.802019102499e-04	6.168507388793e-05	2.663484156074e-05	0.000000000000e+00	-9.270036571252e-06	-4.819917798216e-09	1.738458633423e+00
-1.850000000000e+02	4.947336856276e-04	6.276501517277e-05	3.187524634995e-05	0.000000000000e+00	-9.610052075004e-06	-4.210673143490e-09	1.738665461540e+00
-1.750000000000e+02	5.081028793938e-04	6.364139699144e-05	3.702820322360e-05	0.000000000000e+00	-9.885176950775e-06	-3.600153730687e-09	1.738843798637e+00
-1.650000000000e+02	5.196059355512e-04	6.447051418945e-05	4.196440568194e-05	0.000000000000e+00	-1.006625006994e-05	-3.800417758271e-09	1.738994717598e+00
-1.550000000000e+02	5.300675984472e-04	6.539228343172e-05	4.679501580540e-05	0.000000000000e+00	-1.015289217321e-05	-4.068172465566e-09	1.739114999771e+00
-1.450000000000e+02	5.392140592448e-04	6.631154246861e-05	5.155991311767e-05	0.000000000000e+00	-1.013609835354e-05	-3.919042868006e-09	1.739209055901e+00
-1.350000000000e+02	5.465850117616e-04	6.719905650243e-05	5.627898644889e-05	0.000000000000e+00	-1.000754855340e-05	-3.993883002096e-09	1.739280343056e+00
-1.250000000000e+02	5.528423935175e-04	6.815852975706e-05	6.107724766480e-05	0.000000000000e+00	-9.770691576705e-06	-4.551197196889e-09	1.739325761795e+00
