z	tke_res	tke_sbg	wt_res	wt_sbg	wtke_res	wtke_sbg	temp	u	wu_sbg	wu_res
-8.950000000000e+02	4.006826929981e-05	1.207864443131e-06	-4.222585516800e-07	0.000000000000e+00	-4.759059368808e-09	-1.752223366402e-11	1.104279994965e+00	1.816367381252e-03	0.000000000000e+00	-6.056569645807e-07
-8.850000000000e+02	3.943538467865e-05	1.233049260918e-06	-3.601379603424e-07	0.000000000000e+00	-6.308626954166e-09	-1.221700345055e-11	1.114517450333e+00	1.790935406461e-03	0.000000000000e+00	-6.163160719552e-07
-8.750000000000e+02	3.890338848578e-05	1.246241822628e-06	-3.846251956929e-07	0.000000000000e+00	-6.231323013139e-09	-3.585888747396e-12	1.124808549881e+00	1.752498559654e-03	0.000000000000e+00	-6.623949388995e-07
-8.650000000000e+02	3.864585232805e-05	1.245650423698e-06	-4.601329806064e-07	0.000000000000e+00	-5.777984757316e-09	1.960288702196e-12	1.134958505630e+00	1.712663681246e-03	0.000000000000e+00	-7.230529490698e-07
-8.550000000000e+02	3.856316470774e-05	1.241768131877e-06	-5.593588525699e-07	0.000000000000e+00	-5.446397111086e-09	2.835463417880e-12	1.145081281662e+00	1.694037579000e-03	0.000000000000e+00	-7.821681151654e-07
-8.450000000000e+02	3.861785444315e-05	1.237814103661e-06	-5.605899673355e-07	0.000000000000e+00	-4.565490652197e-09	2.132261164509e-12	1.155088067055e+00	1.695851446129e-03	0.000000000000e+00	-7.568474984510e-07
-8.350000000000e+02	3.873348032357e-05	1.235449076376e-06	-5.492350396707e-07	0.000000000000e+00	-3.698327644130e-09	1.297814069753e-12	1.165112376213e+00	1.710634911433e-03	0.000000000000e+00	-6.602693929381e-07
-8.250000000000e+02	3.893867324223e-05	1.233610987583e-06	-4.959881607647e-07	0.000000000000e+00	-3.771117196294e-09	1.441835800059e-12	1.175070166588e+00	1.730366377160e-03	0.000000000000e+00	-6.376704391187e-07
-8.150000000000e+02	3.910379018635e-05	1.230409225172e-06	-5.053684049017e-07	0.000000000000e+00	-4.573631695592e-09	2.101543114877e-12	1.185069084167e+00	1.763952313922e-03	0.000000000000e+00	-6.863319867989e-07
-8.050000000000e+02	3.921316965716e-05	1.226235667673e-06	-4.372985245027e-07	0.000000000000e+00	-5.044628714757e-09	3.051322215730e-12	1.195031523705e+00	1.796052325517e-03	0.000000000000e+00	-7.470219998140e-07
-7.950000000000e+02	3.926190765924e-05	1.220300873683e-06	-3.661092478069e-07	0.000000000000e+00	-4.725180247078e-09	2.941869838013e-12	1.205042481422e+00	1.803447259590e-03	0.000000000000e+00	-8.645730531498e-07
-7.850000000000e+02	3.930047387257e-05	1.217237127094e-06	-3.331789173444e-07	0.000000000000e+00	-3.858975361481e-09	1.354672667445e-12	1.215040206909e+00	1.778951380402e-03	0.000000000000e+00	-9.707254093883e-07
-7.750000000000e+02	3.940688839066e-05	1.216617533828e-06	-3.543139541762e-07	0.000000000000e+00	-2.334501258971e-09	-2.925729862373e-13	1.225057005882e+00	1.756662735716e-03	0.000000000000e+00	-1.086272050088e-06
-7.650000000000e+02	3.935886343243e-05	1.218473130393e-06	-3.524450562509e-07	0.000000000000e+00	-1.684632988663e-09	-1.720459386935e-12	1.235065102577e+00	1.771918963641e-03	0.000000000000e+00	-1.193105958919e-06
-7.550000000000e+02	3.926335193682e-05	1.222188188876e-06	-3.452942678450e-07	0.000000000000e+00	-1.375311975416e-09	-2.397531392168e-12	1.245050907135e+00	1.807313296013e-03	0.000000000000e+00	-1.388929604218e-06
-7.450000000000e+02	3.942584226024e-05	1.225505570801e-06	-4.070634247455e-07	0.000000000000e+00	-1.009493821869e-09	-1.540688475236e-12	1.255034923553e+00	1.820966252126e-03	0.000000000000e+00	-1.771726715560e-06
-7.350000000000e+02	3.959495370509e-05	1.226040808433e-06	-5.758001861977e-07	0.000000000000e+00	-1.866679477658e-09	4.265092510940e-13	1.265050292015e+00	1.820797100663e-03	0.000000000000e+00	-2.157155449822e-06
-7.250000000000e+02	3.956817818107e-05	1.224053676196e-06	-7.420886163345e-07	0.000000000000e+00	-2.930903519882e-09	-2.999642363926e-13	1.275066256523e+00	1.817619195208e-03	0.000000000000e+00	-2.416509687464e-06
-7.150000000000e+02	3.949719757657e-05	1.226991116710e-06	-6.240266543500e-07	0.000000000000e+00	-2.894543715826e-09	-2.609917490459e-12	1.285065054893e+00	1.800989033654e-03	0.000000000000e+00	-2.523937837395e-06
-7.050000000000e+02	3.962201299146e-05	1.231391252077e-06	-4.377951938750e-07	0.000000000000e+00	-2.201109960964e-09	-4.707269188158e-13	1.295054078102e+00	1.774949138053e-03	0.000000000000e+00	-2.546197038100e-06
-6.950000000000e+02	3.982408088632e-05	1.227979169016e-06	-1.744881927834e-07	0.000000000000e+00	-1.562539209132e-09	2.901435168512e-12	1.305071115494e+00	1.768421032466e-03	0.000000000000e+00	-2.510905233066e-06
-6.850000000000e+02	3.981983536505e-05	1.222475248142e-06	6.402829910712e-08	0.000000000000e+00	-1.658154058504e-09	2.291128224641e-12	1.315098524094e+00	1.796521595679e-03	0.000000000000e+00	-2.382870661677e-06
-6.750000000000e+02	3.967655720771e-05	1.220718445438e-06	2.283481279619e-07	0.000000000000e+00	-1.856288567303e-09	1.334464765253e-12	1.325132966042e+00	1.833550515585e-03	0.000000000000e+00	-2.266806632178e-06
-6.650000000000e+02	3.962781920563e-05	1.218264742420e-06	2.393160229985e-07	0.000000000000e+00	-2.532167142633e-09	1.864816244132e-12	1.335160970688e+00	1.855887821876e-03	0.000000000000e+00	-2.042821961368e-06
-6.550000000000e+02	3.957064836868e-05	1.215458269144e-06	7.666425716479e-08	0.000000000000e+00	-3.934193859578e-09	7.093089136878e-13	1.345174551010e+00	1.870528911240e-03	0.000000000000e+00	-1.606249838915e-06
-6.450000000000e+02	3.946231663576e-05	1.216542045768e-06	-2.994766816755e-07	0.000000000000e+00	-5.302488226278e-09	-1.883199542488e-12	1.355165481567e+00	1.888703554869e-03	0.000000000000e+00	-1.165337266684e-06
-6.350000000000e+02	3.954629210057e-05	1.220946955982e-06	-6.669234267065e-07	0.000000000000e+00	-6.450814105108e-09	-3.712188976351e-12	1.365138173103e+00	1.895953435451e-03	0.000000000000e+00	-9.718189630803e-07
-6.250000000000e+02	3.990056939074e-05	1.227628445122e-06	-1.062066871782e-06	0.000000000000e+00	-7.288102565894e-09	-5.100096126670e-12	1.375114560127e+00	1.891087158583e-03	0.000000000000e+00	-1.125537210100e-06
-6.150000000000e+02	4.033352888655e-05	1.236457478626e-06	-1.249974502571e-06	0.000000000000e+00	-6.949769648656e-09	-5.087619561750e-12	1.385099887848e+00	1.888705650344e-03	0.000000000000e+00	-1.503459429841e-06
-6.050000000000e+02	4.052148506162e-05	1.242891357833e-06	-1.259902887796e-06	0.000000000000e+00	-5.604433361839e-09	-1.796568536300e-12	1.395099282265e+00	1.893903594464e-03	0.000000000000e+00	-1.944820724020e-06
-5.950000000000e+02	4.052306394442e-05	1.242345092578e-06	-1.161304453490e-06	0.000000000000e+00	-4.474222770057e-09	1.235634424640e-12	1.405136346817e+00	1.899308874272e-03	0.000000000000e+00	-2.438738874844e-06
-5.850000000000e+02	4.063013329869e-05	1.239763150807e-06	-1.015224029288e-06	0.000000000000e+00	-3.557157457479e-09	1.350836543318e-12	1.415188550949e+00	1.889394945465e-03	0.000000000000e+00	-2.925222815975e-06
-5.750000000000e+02	4.079673453816e-05	1.238165623363e-06	-7.662939083275e-07	0.000000000000e+00	-3.181655161555e-09	8.035899419848e-13	1.425244808197e+00	1.876402413473e-03	0.000000000000e+00	-3.278408485130e-06
-5.650000000000e+02	4.088750938536e-05	1.237178935298e-06	-4.263949051619e-07	0.000000000000e+00	-3.910074930502e-09	3.986994653697e-13	1.435304880142e+00	1.877199276350e-03	0.000000000000e+00	-3.422983581913e-06
-5.550000000000e+02	4.103004903300e-05	1.236809453076e-06	-2.435496071485e-07	0.000000000000e+00	-4.298668088154e-09	-7.470215310050e-14	1.445322513580e+00	1.897530746646e-03	0.000000000000e+00	-3.459956587903e-06
-5.450000000000e+02	4.107613131055e-05	1.237013634636e-06	-2.918014274655e-07	0.000000000000e+00	-3.922005831214e-09	-9.790239365731e-13	1.455309391022e+00	1.936471089721e-03	0.000000000000e+00	-3.456866124907e-06
-5.350000000000e+02	4.092682138435e-05	1.238979166374e-06	-5.592114575848e-07	0.000000000000e+00	-3.553243921317e-09	-1.871787664101e-12	1.465279221535e+00	1.976285828277e-03	0.000000000000e+00	-3.457293360043e-06
-5.250000000000e+02	4.088526475243e-05	1.241659106199e-06	-8.238837949648e-07	0.000000000000e+00	-4.182177271161e-09	-1.904523847657e-12	1.475283384323e+00	1.990362070501e-03	0.000000000000e+00	-3.546046627889e-06
-5.150000000000e+02	4.117140633753e-05	1.244468194272e-06	-9.648936156736e-07	0.000000000000e+00	-5.548631332175e-09	-8.894862927808e-13	1.485314249992e+00	1.992262667045e-03	0.000000000000e+00	-3.770314151552e-06
-5.050000000000e+02	4.166983126197e-05	1.244710915671e-06	-8.701324532012e-07	0.000000000000e+00	-7.285388292644e-09	4.383346170842e-13	1.495369553566e+00	2.004778012633e-03	0.000000000000e+00	-3.999505224783e-06
-4.950000000000e+02	4.242358772899e-05	1.243128053829e-06	-8.256435535259e-07	0.000000000000e+00	-8.754062363892e-09	-1.059595336819e-12	1.505401968956e+00	2.018404658884e-03	0.000000000000e+00	-4.157819603279e-06
-4.850000000000e+02	4.315933620092e-05	1.247337763743e-06	-9.481265124123e-07	0.000000000000e+00	-9.493781760739e-09	-3.512043303747e-12	1.515424251556e+00	2.035712823272e-03	0.000000000000e+00	-4.236789663992e-06
-4.750000000000e+02	4.361273022369e-05	1.253772325072e-06	-1.034927322507e-06	0.000000000000e+00	-9.568407399740e-09	-2.740988642655e-12	1.525468349457e+00	2.063317224383e-03	0.000000000000e+00	-4.419322522153e-06
-4.650000000000e+02	4.398485543788e-05	1.255649067389e-06	-9.721734386403e-07	0.000000000000e+00	-8.806820162022e-09	8.833489766481e-14	1.535518765450e+00	2.099378965795e-03	0.000000000000e+00	-4.732744400826e-06
-4.550000000000e+02	4.460097625270e-05	1.252646143257e-06	-8.038497867346e-07	0.000000000000e+00	-7.370543730900e-09	2.113375880547e-12	1.545601725578e+00	2.146081766114e-03	0.000000000000e+00	-4.861356501351e-06
-4.450000000000e+02	4.551386882667e-05	1.248477474292e-06	-5.823963533658e-07	0.000000000000e+00	-4.642229267660e-09	2.176473628060e-12	1.555707931519e+00	2.196885179728e-03	0.000000000000e+00	-4.893718141830e-06
-4.350000000000e+02	4.631689080270e-05	1.244844497705e-06	-4.066360475008e-07	0.000000000000e+00	-2.044779900956e-09	1.587829910957e-12	1.565797448158e+00	2.250772900879e-03	0.000000000000e+00	-4.932944648317e-06
-4.250000000000e+02	4.678260302171e-05	1.242475605068e-06	-4.408122435962e-07	0.000000000000e+00	-7.369338472785e-10	1.460114798166e-12	1.575840711594e+00	2.311630873010e-03	0.000000000000e+00	-4.902371074422e-06
-4.150000000000e+02	4.717713454738e-05	1.239585913027e-06	-5.373217391025e-07	0.000000000000e+00	-2.174895152862e-09	2.868387222622e-13	1.585873365402e+00	2.369399415329e-03	0.000000000000e+00	-4.824720690522e-06
-4.050000000000e+02	4.782804535353e-05	1.239566927325e-06	-7.610041166117e-07	0.000000000000e+00	-5.293819604901e-09	-7.304614378645e-12	1.595929980278e+00	2.420882461593e-03	0.000000000000e+00	-4.752852419188e-06
-3.950000000000e+02	4.877051469521e-05	1.253778577848e-06	-9.525757036499e-07	0.000000000000e+00	-1.049617281978e-08	-2.337208725167e-11	1.606030344963e+00	2.461139578372e-03	0.000000000000e+00	-4.690590230894e-06
-3.850000000000e+02	5.049147512182e-05	1.285864755118e-06	-1.251081016562e-06	0.000000000000e+00	-1.762856527421e-08	-5.250041720806e-11	1.616198420525e+00	2.493188949302e-03	0.000000000000e+00	-4.708430424216e-06
-3.750000000000e+02	5.306666935212e-05	1.349431272502e-06	-1.711358891043e-06	0.000000000000e+00	-2.682323163583e-08	-1.507301505832e-10	1.626447677612e+00	2.558412961662e-03	0.000000000000e+00	-4.742377768707e-06
-3.650000000000e+02	5.685797805199e-05	1.506429157416e-06	-2.247744987471e-06	0.000000000000e+00	-3.737835641004e-08	-5.001740133181e-10	1.636849045753e+00	2.756554866210e-03	0.000000000000e+00	-4.644283762900e-06
-3.550000000000e+02	6.263351679081e-05	1.930314283527e-06	-2.873049197660e-06	0.000000000000e+00	-4.664631703122e-08	-1.602083354868e-09	1.647600531578e+00	3.211248898879e-03	0.000000000000e+00	-4.574084414344e-06
-3.450000000000e+02	7.111174636520e-05	3.086021024501e-06	-3.524700787239e-06	0.000000000000e+00	-4.784756768572e-08	-4.925627017371e-09	1.659183025360e+00	4.228358156979e-03	0.000000000000e+00	-5.200209216127e-06
-3.350000000000e+02	8.457881631330e-05	5.984085873934e-06	-4.910129518976e-06	0.000000000000e+00	-4.214633619881e-08	-1.257009429878e-08	1.672273278236e+00	6.435472052544e-03	0.000000000000e+00	-7.092729447322e-06
-3.250000000000e+02	1.066378317773e-04	1.185272776638e-05	-8.188564606826e-06	0.000000000000e+00	-4.469186265510e-08	-2.302856394465e-08	1.687159180641e+00	1.039858348668e-02	0.000000000000e+00	-1.022599826683e-05
-3.150000000000e+02	1.389157114318e-04	2.055287222902e-05	-1.195180902869e-05	0.000000000000e+00	-7.095889031916e-08	-3.019466987553e-08	1.703005194664e+00	1.562351267785e-02	0.000000000000e+00	-1.314659766649e-05
-3.050000000000e+02	1.869446859928e-04	3.038814247702e-05	-1.506817352492e-05	0.000000000000e+00	-1.795881843236e-07	-3.019144045879e-08	1.717425227165e+00	2.074717916548e-02	0.000000000000e+00	-1.600825271453e-05
-2.950000000000e+02	2.514061925467e-04	3.929901504307e-05	-1.569719461259e-05	0.000000000000e+00	-4.864186280429e-07	-2.432920354067e-08	1.728247404099e+00	2.494029514492e-02	0.000000000000e+00	-1.838203752413e-05
